Ride_ID,User_ID,Driver_ID,Ride_DateTime,Pickup_Location,Dropoff_Location,Distance_km,Ride_Duration_min,Fare_Amount,Payment_Method,Ride_Status,User_Rating,Driver_Rating,Surge_Pricing,Promo_Code_Used,Vehicle_Type,Weather_Condition,Traffic_Level,Driver_Experience_Years,User_Type
R000056,U8989,D384,03-01-24 18:16,Airport,Financial District,12.51,32,51.16,Credit Card,Completed,3.8,3.8,Yes,No,SUV,Clear,Low,4,Frequent
R000057,U7873,D126,06-01-24 14:58,Airport,Airport,6.6,22,21.29,Credit Card,Completed,4.2,3,No,Yes,SUV,Rainy,Low,9,Returning
R000058,U6675,D501,03-01-24 14:44,Mall,Suburbs,4.49,10,20.17,Cash,Completed,4.7,3,No,No,SUV,Rainy,Medium,9,New
R000059,U1161,D459,03-01-24 21:21,Airport,Downtown,1.04,3,5.73,Mobile Wallet,No-show,1.8,1.9,No,No,Motorcycle,Foggy,High,10,Returning
R000060,U5297,D159,06-01-24 0:25,Downtown,Financial District,8.02,24,25.77,Mobile Wallet,Completed,4.9,3.1,No,No,Electric,Foggy,Medium,6,Returning
R000061,U1995,D301,07-01-24 2:37,Airport,Airport,14.99,53,49.57,Cash,Completed,3.2,3.1,No,No,Motorcycle,Rainy,Low,5,Frequent
R000062,U8629,D861,02-01-24 8:24,Midtown,Suburbs,9.28,25,33.95,Credit Card,No-show,2,2.8,No,No,Sedan,Clear,Low,9,New
R000063,U2016,D973,03-01-24 10:34,Financial District,Suburbs,11.51,33,42.51,Cash,Canceled,3.2,2.2,No,Yes,SUV,Clear,High,2,Returning
R000064,U8869,D680,03-01-24 13:52,Downtown,Downtown,14.28,47,54.05,Credit Card,Completed,3.6,4.1,No,No,SUV,Rainy,High,5,Returning
R000065,U7439,D469,02-01-24 15:06,University,Downtown,11.48,37,37.94,Cash,Completed,3.2,5,Yes,No,SUV,Thunderstorm,Medium,8,Frequent
R000066,U8892,D632,02-01-24 15:14,Airport,Financial District,25.64,78,80.96,Cash,Completed,4.6,4.3,No,Yes,SUV,Foggy,Medium,4,Frequent
R000067,U7863,D251,07-01-24 1:23,University,University,17.72,47,55.95,Credit Card,No-show,2.8,1.8,No,No,SUV,Clear,Medium,10,Frequent
R000068,U8916,D201,04-01-24 12:42,Financial District,Airport,1.66,6,14.24,Mobile Wallet,Completed,3.2,4.9,No,No,Sedan,Foggy,High,2,New
R000069,U9529,D998,05-01-24 9:17,Downtown,Suburbs,8.71,32,36.69,Cash,Completed,4.1,3.6,Yes,No,SUV,Clear,Medium,5,Returning
R000070,U1878,D706,04-01-24 23:39,Financial District,Financial District,25.13,58,72.84,Mobile Wallet,Completed,4.8,3.5,No,No,Sedan,Clear,Medium,6,New
R000071,U5887,D545,06-01-24 2:12,University,Mall,11.23,30,41.76,Cash,No-show,1.3,3,No,Yes,Shared,Clear,Medium,2,Frequent
R000072,U5859,D972,01-01-24 19:25,Mall,Financial District,32.28,108,103.63,Credit Card,Completed,4.9,4.8,No,Yes,Shared,Clear,Medium,1,Returning
R000073,U7331,D328,06-01-24 19:19,Downtown,Mall,25.23,89,82,Mobile Wallet,Completed,4.4,3.1,No,No,SUV,Thunderstorm,Low,5,Returning
R000074,U9571,D224,06-01-24 19:54,Suburbs,Downtown,10.86,39,35.82,Cash,Completed,3.8,4.1,No,Yes,SUV,Clear,Medium,2,Returning
R000075,U9684,D869,05-01-24 19:56,Mall,Suburbs,18.56,61,54.14,Cash,Canceled,3.2,1.5,No,Yes,SUV,Clear,Low,8,Returning
R000076,U8208,D933,03-01-24 7:46,Downtown,Midtown,23.69,70,77.75,Credit Card,Completed,3.8,4.8,Yes,No,Sedan,Clear,High,10,Frequent
R000077,U6276,D980,07-01-24 0:06,Airport,University,7.57,25,31.14,Credit Card,Completed,3.8,4.1,No,No,SUV,Clear,Medium,2,Returning
R000078,U3062,D335,06-01-24 2:07,University,University,9.37,21,35.3,Mobile Wallet,Completed,4.6,3.1,No,No,Sedan,Clear,Medium,7,Frequent
R000079,U1064,D261,04-01-24 17:00,Financial District,Downtown,18.24,44,69.82,Credit Card,No-show,3.3,2,No,Yes,Sedan,Rainy,Medium,6,Frequent
R000080,U9006,D653,02-01-24 16:14,Financial District,Mall,32.45,125,95.37,Credit Card,Completed,4.3,4.2,No,Yes,Sedan,Clear,Medium,6,Returning
R000081,U3568,D887,04-01-24 21:53,Financial District,Suburbs,12.7,49,36.88,Credit Card,Completed,4.8,3.6,No,No,Sedan,Clear,Medium,5,New
R000082,U6463,D452,02-01-24 11:11,Midtown,Financial District,14.67,51,42.7,Credit Card,Completed,4.2,4.1,No,No,Sedan,Clear,Medium,10,Frequent
R000083,U3027,D167,07-01-24 18:56,Midtown,University,7.48,20,25.01,Credit Card,Completed,4.2,4.9,No,No,Sedan,Rainy,Medium,4,Returning
R000084,U3695,D272,06-01-24 14:24,Airport,Financial District,21.17,70,63.68,Credit Card,Completed,4.7,4.1,No,Yes,Sedan,Clear,Low,4,Frequent
R000085,U6258,D942,03-01-24 6:05,Suburbs,Airport,26.17,88,85.32,Credit Card,Completed,3.7,3.2,No,No,Sedan,Rainy,Medium,1,Returning
R000086,U6618,D736,05-01-24 11:57,Midtown,Midtown,15.98,48,52.88,Credit Card,Completed,4.7,5,No,No,Shared,Clear,Low,3,New
R000087,U7736,D781,03-01-24 14:41,Downtown,Downtown,26.51,93,79.85,Cash,Completed,4.7,3.4,No,Yes,Sedan,Clear,Medium,1,Frequent
R000088,U1391,D658,03-01-24 18:58,Mall,Mall,11.29,23,38.16,Credit Card,Completed,3.8,3.9,No,Yes,Electric,Clear,Medium,1,Frequent
R000089,U6892,D360,01-01-24 8:49,University,University,25.04,63,76.6,Cash,Completed,4.3,3.8,No,No,Sedan,Clear,Medium,8,Returning
R000090,U4561,D316,01-01-24 8:06,Airport,Airport,9.78,35,37.02,Credit Card,Completed,3.1,4.9,No,No,Sedan,Clear,High,5,Returning
R000091,U7184,D916,04-01-24 22:02,Mall,Airport,27.54,107,88.52,Credit Card,Completed,4.2,3.7,No,Yes,Shared,Rainy,Low,10,New
R000092,U4099,D223,07-01-24 9:11,Suburbs,Midtown,29.24,110,86.29,Credit Card,Completed,4.8,4.9,No,No,Sedan,Foggy,Medium,10,Frequent
R000093,U7278,D904,07-01-24 22:15,Mall,Downtown,28.12,97,94.23,Mobile Wallet,Completed,4.1,3.7,No,No,SUV,Rainy,High,6,Returning
R000094,U9392,D261,05-01-24 5:05,Downtown,Downtown,8.33,19,31.66,Mobile Wallet,Completed,3.9,3.1,No,Yes,Sedan,Clear,Low,6,Frequent
R000095,U4104,D300,01-01-24 6:44,Financial District,Financial District,24.6,67,76.99,Cash,No-show,2.3,1.3,No,No,Shared,Clear,Medium,6,Returning
R000096,U8215,D553,01-01-24 12:40,Midtown,Downtown,19.31,41,64.84,Cash,Completed,3.3,4.8,No,No,Sedan,Rainy,Medium,3,New
R000097,U3454,D501,01-01-24 11:02,Downtown,Airport,34.53,113,104,Cash,Completed,3.8,4.9,No,Yes,Sedan,Clear,Medium,4,New
R000098,U9996,D561,01-01-24 15:02,Suburbs,Financial District,13.29,39,51.29,Credit Card,Completed,3.4,4.8,Yes,No,SUV,Clear,Medium,9,Returning
R000099,U3731,D374,02-01-24 16:06,Airport,Downtown,27.22,86,81.2,Mobile Wallet,No-show,1.5,1.6,No,No,Electric,Clear,Medium,8,New
R000100,U9154,D305,07-01-24 5:27,Mall,Mall,13.58,54,49.73,Cash,Completed,3.2,4.8,No,No,SUV,Clear,Low,7,New
R000101,U6056,D139,02-01-24 4:14,Downtown,Mall,14.49,41,54.43,Credit Card,Canceled,3.2,3.1,Yes,Yes,Electric,Clear,Medium,2,Frequent
R000102,U9110,D372,03-01-24 5:30,Airport,Midtown,4.77,12,18.28,Credit Card,Canceled,1.7,2,No,Yes,Electric,Clear,High,6,Returning
R000103,U4840,D799,04-01-24 23:13,Financial District,Airport,9.15,21,40.07,Credit Card,Completed,4.8,4.7,No,Yes,Shared,Rainy,Medium,5,Returning
R000104,U2028,D966,05-01-24 4:00,Suburbs,Suburbs,6.59,15,28.96,Credit Card,Completed,4,3.6,Yes,Yes,Sedan,Clear,Medium,1,Frequent
R000105,U8385,D192,02-01-24 23:03,Suburbs,Midtown,6.41,19,22.15,Mobile Wallet,Completed,3.7,3.6,No,No,SUV,Clear,High,7,Frequent
R000106,U1502,D141,03-01-24 13:46,Mall,Midtown,1.31,5,10.67,Cash,Completed,3.6,4,Yes,No,SUV,Clear,Low,10,New
R000107,U7910,D564,05-01-24 20:03,Midtown,Downtown,27.99,88,97.11,Credit Card,Completed,3.8,3.8,Yes,No,Sedan,Clear,High,6,Returning
R000108,U7938,D478,03-01-24 21:07,University,Financial District,16.91,63,56.61,Credit Card,Completed,3.6,4.7,No,Yes,Shared,Clear,Medium,6,Returning
R000109,U5488,D206,07-01-24 0:47,Suburbs,Financial District,28.34,75,103.07,Mobile Wallet,Completed,4.2,3.4,No,Yes,Sedan,Clear,Medium,6,Returning
R000110,U1206,D427,07-01-24 8:42,Downtown,Mall,21.83,70,77.56,Cash,Completed,4.9,4.2,Yes,Yes,SUV,Rainy,Medium,3,Returning
R000111,U6134,D164,06-01-24 17:39,Downtown,Airport,29.27,97,109.22,Mobile Wallet,Canceled,3.4,1.8,No,Yes,SUV,Rainy,Low,4,New
R000112,U6977,D464,02-01-24 22:15,Downtown,Downtown,18.13,46,61.19,Cash,Completed,4.4,3.5,No,Yes,Sedan,Rainy,Medium,2,Returning
R000113,U8721,D920,06-01-24 16:54,Financial District,Financial District,4.2,12,16.09,Credit Card,Completed,4.6,3.3,Yes,No,SUV,Clear,Medium,9,Returning
R000114,U8035,D583,05-01-24 8:54,Suburbs,Mall,21.97,70,75.29,Cash,Canceled,1.6,1.3,No,No,Sedan,Clear,Medium,9,New
R000115,U2484,D746,06-01-24 13:32,Suburbs,University,24.04,49,64.28,Cash,Completed,4.3,3.9,No,No,Sedan,Rainy,Medium,9,Frequent
R000116,U8858,D123,04-01-24 17:57,Downtown,Suburbs,22.3,84,71.13,Credit Card,Completed,3.9,3.8,No,Yes,SUV,Snowy,Medium,10,New
R000117,U1863,D639,04-01-24 2:43,Mall,University,28.25,63,96.85,Credit Card,Completed,3.6,3.7,No,No,SUV,Thunderstorm,Low,3,Returning
R000118,U3790,D161,02-01-24 6:50,Midtown,Downtown,25.87,54,76.76,Credit Card,Completed,4.2,4,No,No,SUV,Foggy,Low,4,New
R000119,U8408,D590,07-01-24 5:22,Mall,Downtown,15.71,38,47.99,Mobile Wallet,Completed,4.5,3.3,Yes,No,Sedan,Clear,Low,3,Frequent
R000120,U9755,D372,06-01-24 3:05,Midtown,Financial District,28.85,87,86.19,Cash,Completed,3.6,4,No,No,Motorcycle,Rainy,Medium,3,Returning
R000121,U6116,D328,06-01-24 21:01,Suburbs,Midtown,24.52,65,73.73,Credit Card,Completed,4.1,3.5,No,No,Sedan,Rainy,Medium,9,Returning
R000122,U7019,D119,02-01-24 1:28,Mall,Downtown,5.09,15,22.45,Cash,Completed,4.3,3,No,No,Sedan,Clear,High,9,Returning
R000123,U2757,D102,02-01-24 1:36,Suburbs,Midtown,19.36,42,61.99,Credit Card,Completed,4.3,4.7,No,Yes,SUV,Foggy,Medium,3,Frequent
R000124,U8574,D520,06-01-24 14:41,Airport,Airport,25.77,64,88.03,Credit Card,Completed,3.5,3.5,Yes,Yes,Shared,Clear,High,7,Returning
R000125,U7374,D829,04-01-24 17:45,Suburbs,Mall,19.81,43,54.73,Cash,Completed,3.2,3.4,Yes,Yes,Sedan,Rainy,Medium,4,Returning
R000126,U7892,D406,04-01-24 11:10,Mall,Airport,33.27,82,103.65,Credit Card,Completed,3.5,3.7,No,No,SUV,Clear,Low,5,New
R000127,U2678,D531,06-01-24 19:46,Downtown,Financial District,4.45,15,17.39,Cash,Completed,4.8,4.2,No,No,Sedan,Clear,Medium,4,New
R000128,U4242,D235,05-01-24 13:53,University,Airport,25.56,81,71.84,Credit Card,Completed,3.4,4.7,Yes,No,SUV,Clear,Medium,3,Returning
R000129,U5636,D614,06-01-24 14:28,Financial District,University,29.03,77,99.56,Mobile Wallet,Completed,4.3,4.1,No,No,Sedan,Snowy,Medium,8,New
R000130,U2059,D292,02-01-24 9:18,Suburbs,University,24.89,63,72.98,Credit Card,Completed,4.2,4.7,No,No,SUV,Clear,Low,9,Frequent
R000131,U7668,D684,03-01-24 17:16,Suburbs,University,14.11,56,43.55,Mobile Wallet,Completed,3.4,4.3,No,No,SUV,Clear,Low,10,New
R000132,U4157,D514,03-01-24 2:45,Downtown,Financial District,14.11,50,46.59,Cash,Completed,4,3.3,Yes,Yes,Motorcycle,Rainy,Medium,9,New
R000133,U6915,D972,01-01-24 7:05,Airport,Financial District,20.94,76,74.24,Mobile Wallet,Completed,3.7,4.2,No,Yes,Electric,Clear,High,7,Returning
R000134,U3693,D217,06-01-24 15:10,University,University,14.5,30,50.45,Credit Card,Completed,3.1,4.2,No,Yes,Motorcycle,Clear,Medium,9,New
R000135,U4627,D765,03-01-24 23:56,Suburbs,Midtown,31.03,66,106.57,Mobile Wallet,Completed,3.2,3.8,Yes,No,SUV,Clear,High,3,Returning
R000136,U6450,D308,03-01-24 2:36,Midtown,University,4.74,16,17.29,Credit Card,Completed,3.8,3.3,No,No,SUV,Clear,Medium,4,Returning
R000137,U2663,D133,02-01-24 12:51,Midtown,Midtown,22.73,54,78.59,Credit Card,No-show,3.1,2.1,Yes,No,SUV,Clear,Medium,7,New
R000138,U6592,D748,03-01-24 14:24,Midtown,Airport,5.56,16,22.17,Credit Card,Canceled,2.9,2.7,Yes,Yes,SUV,Clear,Medium,5,Frequent
R000139,U8392,D417,04-01-24 8:02,Financial District,Midtown,19.37,46,73.14,Credit Card,Completed,4.1,4.9,No,No,SUV,Rainy,Medium,7,Frequent
R000140,U2306,D219,03-01-24 18:49,Financial District,Downtown,25.33,60,90.46,Cash,Completed,3.8,3.3,No,Yes,Sedan,Clear,Low,9,Frequent
R000141,U7776,D726,02-01-24 10:25,University,Suburbs,6.63,15,24.84,Credit Card,Completed,4.4,4.6,No,Yes,Motorcycle,Clear,High,6,New
R000142,U6864,D624,05-01-24 22:23,Suburbs,Downtown,24.94,80,84.88,Credit Card,Completed,4.4,3.5,No,Yes,Shared,Clear,Low,6,Frequent
R000143,U8526,D680,06-01-24 16:57,Suburbs,Downtown,5.76,20,26.79,Mobile Wallet,Completed,3.1,4.3,No,No,Sedan,Clear,High,1,Frequent
R000144,U9901,D944,06-01-24 6:37,Suburbs,Financial District,22.1,47,71.03,Mobile Wallet,Completed,3.4,3.6,No,No,Sedan,Rainy,Low,2,New
R000145,U6575,D868,03-01-24 16:26,Financial District,Suburbs,18.19,46,62.23,Cash,Completed,3.9,4,No,Yes,SUV,Rainy,High,3,New
R000146,U6530,D188,04-01-24 16:24,University,Financial District,11.13,37,38.68,Cash,Completed,3.7,4.5,No,No,SUV,Clear,High,9,New
R000147,U5413,D611,03-01-24 6:23,Suburbs,Midtown,4.79,13,20.76,Credit Card,Completed,4,4,Yes,No,SUV,Rainy,Medium,4,Returning
R000148,U4748,D146,06-01-24 23:49,Downtown,University,26.02,89,79.22,Credit Card,Completed,4.6,3.7,No,No,Electric,Clear,High,1,Frequent
R000149,U1663,D871,04-01-24 20:54,Airport,Mall,13.98,49,55.23,Cash,Completed,4.9,3.9,No,Yes,Motorcycle,Clear,Medium,5,Returning
R000150,U2998,D839,04-01-24 3:40,Mall,Mall,3.94,8,20.76,Credit Card,Completed,4.2,4.2,No,No,Shared,Clear,Medium,9,New
R000151,U8994,D791,05-01-24 16:51,Midtown,Mall,27.27,75,86.61,Cash,Canceled,3.4,3.3,No,Yes,Electric,Clear,High,5,Returning
R000152,U2495,D621,06-01-24 6:47,Midtown,Midtown,8.92,31,26.64,Credit Card,Completed,3.3,3.3,No,No,Sedan,Clear,Low,5,Returning
R000153,U4304,D383,07-01-24 20:03,Downtown,Suburbs,26.04,72,75.04,Cash,Completed,4.9,3.4,No,Yes,SUV,Rainy,Low,6,Frequent
R000154,U4763,D476,07-01-24 13:41,Suburbs,Airport,20.21,41,67.9,Mobile Wallet,Canceled,1.6,2.5,No,No,Sedan,Clear,High,7,Returning
R000155,U6232,D737,03-01-24 8:48,University,Midtown,7.61,20,28.64,Cash,Canceled,1.9,1.6,No,No,Electric,Clear,Medium,9,New
R000156,U2853,D233,07-01-24 10:36,University,Downtown,3.6,13,18.75,Credit Card,Canceled,1,2,No,No,Sedan,Clear,High,6,Frequent
R000157,U7585,D766,05-01-24 18:31,Financial District,Suburbs,21.17,83,74.73,Credit Card,Completed,4.5,3.6,No,No,Sedan,Clear,Medium,3,Frequent
R000158,U2291,D347,02-01-24 22:56,Suburbs,Suburbs,1.86,6,7.92,Cash,Canceled,2.3,2.8,No,Yes,Sedan,Foggy,Medium,2,Frequent
R000159,U4581,D751,01-01-24 14:29,University,Midtown,3.23,8,13.99,Cash,Completed,4.4,4.1,No,Yes,SUV,Clear,Medium,3,New
R000160,U8554,D417,06-01-24 17:35,Suburbs,Midtown,24.88,73,66.69,Cash,Completed,3.9,4,No,No,Sedan,Clear,Low,5,Frequent
R000161,U8280,D535,04-01-24 1:41,Midtown,Financial District,19.32,48,60.15,Cash,Completed,3.9,3.8,No,Yes,Sedan,Clear,Medium,10,Returning
R000162,U2636,D275,01-01-24 6:47,Mall,Financial District,12.09,28,35.16,Cash,Completed,3.4,4.1,No,No,Shared,Foggy,Low,1,Returning
R000163,U4696,D934,06-01-24 3:27,Mall,Downtown,19.33,58,65.44,Credit Card,Completed,3.1,4.8,No,Yes,Sedan,Clear,Low,5,New
R000164,U1698,D785,03-01-24 13:04,Mall,Suburbs,21.12,73,70.53,Credit Card,Completed,3.4,4.9,No,No,SUV,Thunderstorm,Low,5,Returning
R000165,U5737,D685,06-01-24 2:17,Midtown,Mall,20.22,49,71.3,Cash,Completed,3,3.3,No,Yes,SUV,Rainy,Medium,9,Returning
R000166,U1854,D450,01-01-24 13:16,Financial District,Airport,22.85,87,70.59,Cash,Completed,3.6,4.3,Yes,No,SUV,Clear,Medium,3,Frequent
R000167,U9164,D242,01-01-24 20:10,Mall,Airport,32.97,77,112.44,Credit Card,Completed,4.3,4.2,No,Yes,Motorcycle,Clear,Medium,4,Frequent
R000168,U6855,D903,06-01-24 18:37,Midtown,Suburbs,14.22,44,56.14,Credit Card,Completed,3.4,4.9,No,No,Sedan,Clear,Low,6,Returning
